movie_slug,imdb_id,language,oscar_wins,oscar_nominations
crimson-gold,tt0013957,,0,0
crimson-tide,tt0112740,English,0,5
cronos,tt0104029,English,0,0
crossing,tt0370433,English,0,0
crossroads,tt0019043,,0,0
crouching-tiger-hidden-dragon,tt0190332,Standard Chinese,4,9
cruel-intentions,tt0139134,English,0,0
crumb,tt0109508,English,0,0
cube,tt0123755,English,0,0
cure,tt0123948,Japanese,0,0
custody,tt0115995,,0,0
cutie-and-the-boxer,tt2355540,Japanese,0,2
cyrus,tt1327709,English,0,0
da-5-bloods,tt9777644,English,0,1
dahomey,tt31015216,French,0,0
dan-in-real-life,tt0480242,English,0,0
dancer-in-the-dark,tt0168629,English,0,0
dances-with-wolves,tt0099348,English,8,14
dantes-peak,tt0118928,English,0,0
dark-city,tt0042379,English,0,0
darkman,tt0099365,English,0,0
darwins-nightmare,tt0424024,German,0,1
das-boot,tt0082096,German,0,6
date-night,tt1279935,English,0,0
daughters,tt0126857,,0,0
daughters-of-the-dust,tt0104057,Gullah,0,0
dave-chappelles-block-party,tt0425598,English,0,0
david-byrnes-american-utopia,tt11874226,English,0,0
david-copperfield,tt0026266,English,0,2
dawn-of-the-dead,tt0077402,English,0,0
dawn-of-the-dead-1979,tt0077402,English,0,0
dawson-city-frozen-time,tt5215486,English,0,0
day-of-the-dead,tt0088993,English,0,0
days,tt0124330,Serbo-Croatian,0,0
days-of-being-wild-re-release,tt0101258,Cantonese,0,0
days-of-glory,tt0036748,English,0,3
days-of-heaven-re-release,tt0077405,English,1,7
days-of-thunder,tt0099371,English,0,4
dazed-and-confused,tt0106677,English,0,0
de-humani-corporis-fabrica,tt19783948,French,0,0
de-palma,tt1683048,English,0,0
dead-man,tt0112817,English,0,0
dead-ringers,tt0094964,English,0,0
dead-snow,tt1278340,Norwegian,0,0
deaf-president-now!,tt18265210,,0,0
dear-comrades!,tt0076586,,0,0
dear-zachary-a-letter-to-a-son-about-his-father,tt1152758,English,0,0
death-at-a-funeral-2007,tt0795368,English,0,0
death-race,tt0452608,English,0,0
death-sentence,tt0063580,Italian,0,0
decision-to-leave,tt12477480,Mandarin,0,0
deep-blue-sea,tt0149261,English,0,0
deep-impact,tt0120647,English,0,0
deep-red,tt0073582,Italian,0,0
defiance,tt0080605,English,0,0
definitely-maybe,tt0832266,English,0,0
deja-vu,tt0089065,English,0,0
delicatessen,tt0101700,French,0,0
deliver-us-from-evil,tt0078353,,0,0
deliverance,tt0010061,American English,0,0
demolition-man,tt0106697,English,0,0
departures,tt1069238,Japanese,1,1
derek-delgaudios-in-of-itself,tt11916302,,0,0
descendant,tt0331466,English,0,0
desire,tt0011108,,0,0
despicable-me,tt1323594,English,0,0
destry-rides-again,tt0022810,English,0,0
deuce-bigalow-male-gigolo,tt0205000,English,0,0
devil,tt12410692,,0,0
dial-m-for-murder,tt0046912,English,0,0
diane,tt0049140,English,0,0
diary-of-a-wimpy-kid,tt1196141,English,0,0
dick-johnson-is-dead,tt11394180,English,0,0
die-hard,tt0095016,English,0,10
die-hard-2,tt0099423,English,0,0
die-hard-with-a-vengeance,tt0112864,English,0,0
diner,tt0083833,English,0,1
dinner-in-america,tt9058654,English,0,0
dinosaur,tt0130623,English,0,0
dirty-dancing,tt0092890,English,1,0
dirty-harry,tt0066999,English,0,0
dirty-rotten-scoundrels,tt0095031,English,0,0
distant,tt0346094,Turkish,0,0
distant-voices-still-lives,tt0095037,English,0,0
district-13-ultimatum,tt1247640,French,0,0
district-9,tt1136608,English,0,7
district-b13,tt0414852,French,0,0
disturbia,tt0486822,English,0,0
divine-love,tt0284194,,0,0
django-unchained,tt1853728,English,2,3
do-not-expect-too-much-from-the-end-of-the-world,tt18162096,Romanian,0,0
do-the-right-thing,tt0097216,English,0,2
dodgeball-a-true-underdog-story,tt0364725,English,0,0
dog-day-afternoon,tt0072890,English,1,4
dogma,tt0120655,English,0,0
dogtooth,tt1379182,Greek,0,1
dogville,tt0276919,English,0,0
dolores,tt0221127,,0,0
dolphin-tale,tt1564349,English,0,0
donnie-darko,tt0246578,English,0,0
dont-look-now,tt0069995,English,0,0
dont-think-twice,tt4972062,English,0,0
dos-estaciones,tt16279390,Spanish,0,0
double-indemnity,tt0036775,English,0,6
double-jeopardy,tt0046927,English,0,0
doubt,tt0043485,Spanish,0,0
downfall,tt0131702,German,0,0
downhill-racer,tt0064253,English,0,0
dr-jekyll-and-mr-hyde,tt0011130,English,0,0
dr-no,tt0055928,English,0,0
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,tt0057012,English,0,4
dracula-1931,tt0021814,English,0,0
dracula-pages-from-a-virgins-diary,tt0293113,English,0,0
drag-me-to-hell,tt1127180,English,0,0
dreamcatcher-2015,tt0285531,English,0,0
dreamgirls,tt0443489,English,4,8
dreams-drommer,tt0048272,Swedish,0,0
dreams-in-nightmares,tt32765596,,0,0
drive,tt0101773,,0,0
drive-my-car,tt14039582,Japanese,1,3
driveways,tt9318280,English,0,0
driving-miss-daisy,tt0097239,English,5,11
drug-war,tt2165735,Mandarin,0,0
drugstore-cowboy,tt0097240,English,0,0
duck-soup,tt0023969,English,0,0
due-date,tt1231583,English,0,0
duel,tt0058044,,0,0
duma,tt0361715,English,0,0
dumb-and-dumber,tt0109686,English,0,0
dumbo-1941,tt0033563,English,2,2
dunkirk,tt0051565,English,0,0
duplex,tt0266489,English,0,0
early-spring,tt0049784,Japanese,0,0
earth-mama,tt18382328,English,0,0
eastern-promises,tt0765443,Russian,0,1
easy-rider,tt0064276,English,0,4
ed-wood,tt0109707,English,4,4
eden-2014,tt0119049,,0,0
eden-lake,tt1020530,English,0,0
eephus,tt28332337,English,0,0
