movie_slug,subgenre_name
anger-management,comedy film
anger-management,LGBTQ-related film
animal-kingdom,crime film
animal-kingdom,drama film
animal-kingdom,thriller film
annie-hall-1977,comedy film
annie-hall-1977,drama film
annie-hall-1977,romantic comedy
anomalisa,comedy drama
anomalisa,comedy film
anomalisa,drama film
anomalisa,romance film
another-earth,drama film
another-earth,science fiction film
another-year,drama film
anselm,biographical film
anselm,documentary film
antichrist,art film
antichrist,drama film
antichrist,erotic thriller
antichrist,horror film
antichrist,mystery film
antichrist,psychological thriller film
antz,adventure film
antz,children's film
antz,comedy film
antz,family film
antz,fantasy film
anvil!-the-story-of-anvil,documentary film
anvil!-the-story-of-anvil,rockumentary
apocalypse-in-the-tropics,documentary film
apocalypse-now,action film
apocalypse-now,adventure film
apocalypse-now,drama film
apocalypse-now,epic film
apocalypse-now,horror film
apocalypse-now,psychological drama film
apocalypse-now,psychological horror film
apocalypse-now,psychological thriller film
apocalypse-now,satirical film
apocalypse-now,thriller film
apocalypse-now,war drama
apocalypse-now,war film
apocalypto,drama film
apocalypto,historical drama
apollo-11,documentary film
apollo-13,adventure film
apollo-13,disaster film
apollo-13,docudrama
apollo-13,drama film
apollo-13,historical film
apollo-13,survival film
appaloosa,drama film
appaloosa,Western film
april-and-the-extraordinary-world,adventure film
april-and-the-extraordinary-world,alternate history
april-and-the-extraordinary-world,comedy film
april-and-the-extraordinary-world,steampunk
arabian-nights-volume-1-the-restless-one,fiction film
arabian-nights-volume-2-the-desolate-one,drama film
archipelago,documentary film
archipelago,drama film
are-you-there-god-its-me-margaret,comedy drama
are-you-there-god-its-me-margaret,coming-of-age film
are-you-there-god-its-me-margaret,drama film
are-you-there-god-its-me-margaret,teen film
argo,comedy film
arlington-road,crime film
arlington-road,drama film
arlington-road,mystery film
arlington-road,thriller film
army-of-darkness,adventure film
army-of-darkness,comedy film
army-of-darkness,comedy horror
army-of-darkness,fantasy film
army-of-darkness,horror film
army-of-darkness,time-travel film
army-of-darkness,zombie film
army-of-shadows,drama film
army-of-shadows,war film
arrebato-1979,drama film
arrebato-1979,horror film
